no,id,depth,num,content
84,1007-c-,5,,"⑵ 유형자산, 무형자산 및 기타 장기성 자산의 처분에 따른 현금유입"
85,1007-c-,5,,⑶다른 기업의 지분상품이나 채무상품 및 공동기업 투자지분의 취득에 따른 현금유출(현금성자산으로 간주되는 상품이나 단기매매목적으로 보유하는 상품의 취득에 따른 유출액은 제외)
86,1007-c-,5,,⑷다른 기업의 지분상품이나 채무상품 및 공동기업 투자지분의 처분에 따른 현금유입(현금성자산으로 간주되는 상품이나 단기매매목적으로 보유하는 상품의 처분에 따른 유입액은 제외)
87,1007-c-,5,,⑸제3자에 대한 선급금 및 대여금(금융회사의 현금 선지급과 대출채권은 제외)
88,1007-c-,5,,⑹제3자에 대한 선급금 및 대여금의 회수에 따른 현금유입(금융회사의 현금 선지급과 대출채권은 제외)
89,1007-c-,5,,"⑺선물계약, 선도계약, 옵션계약 및 스왑계약에 따른 현금유출. 단기매매목적으로 계약을 보유하거나 현금유출이 재무활동으로 분류되는 경우는 제외한다."
90,1007-c-,5,,"⑻선물계약, 선도계약, 옵션계약 및 스왑계약에 따른 현금유입. 단기매매목적으로 계약을 보유하거나 현금유입이 재무활동으로 분류되는 경우는 제외한다."
91,1007-c-,5,,"파생상품계약에서 식별가능한 거래에 대하여 위험회피회계를 적용하는 경우, 그 계약과 관련된 현금흐름은 위험회피대상 거래의 현금흐름과 동일하게 분류한다."
92,,,,
93,,7,,재무활동
94,,,,
95,1007-c-17,5,17,재무활동 현금흐름은 미래현금흐름에 대한 자본 제공자의 청구권을 예측하는 데 유용하기 때문에 현금흐름을 별도로 구분 공시하는 것이 중요하다. 재무활동 현금흐름의 예는 다음과 같다.
96,1007-c-,5,,⑴ 주식이나 기타 지분상품의 발행에 따른 현금유입
97,1007-c-,5,,⑵ 주식의 취득이나 상환에 따른 소유주에 대한 현금유출
98,1007-c-,5,,⑶담보·무담보부사채 및 어음의 발행과 기타 장·단기차입에 따른 현금유입
99,1007-c-,5,,⑷차입금의 상환에 따른 현금유출
100,1007-c-,5,,⑸리스이용자의 리스부채 상환에 따른 현금유출
101,,,,
102,,,,
103,1007-i-13,2,,영업활동 현금흐름의 보고
104,,,,
105,1007-c-18,5,18,영업활동 현금흐름은 다음 중 하나의 방법으로 보고한다.
106,1007-c-,5,,⑴ 총현금유입과 총현금유출을 주요 항목별로 구분하여 표시하는 방법(이하 '직접법'이라 한다)   
107,1007-c-,5,,"⑵ 당기순손익에 현금을 수반하지 않는 거래, 과거 또는 미래의 영업활동 현금유입이나 현금유출의 이연 또는 발생, 투자활동 현금흐름이나 재무활동 현금흐름과 관련된 손익항목의 영향을 조정하여 표시하는 방법(이하 '간접법'이라 한다)"
108,,,,
109,1007-c-19,5,19,"영업활동 현금흐름을 보고하는 경우에는 직접법을 사용할 것을 권장한다. 직접법을 적용하여 표시한 현금흐름은 간접법에 의한 현금흐름에서는 파악할 수 없는 정보를 제공하며, 미래현금흐름을 추정하는 데 보다 유용한 정보를 제공한다. 직접법을 적용하는 경우 총현금유입과 총현금유출의 주요 항목별 정보는 다음의 ⑴ 또는 ⑵를 통하여 얻을 수 있다."
110,1007-c-,5,,⑴ 회계기록 
111,1007-c-,5,,"⑵ 매출, 매출원가(금융회사의 경우에는 이자수익과 기타 유사한 수익 및 이자비용과 기타 유사한 비용) 및 그 밖의 포괄손익계산서 항목에 다음 항목을 조정"
112,1007-c-,5,,㈎회계기간 동안 발생한 재고자산과 영업활동에 관련된 채권·채무의 변동
113,1007-c-,5,,㈏기타 비현금항목
114,1007-c-,5,,㈐투자활동 현금흐름이나 재무활동 현금흐름으로 분류되는 기타 항목
115,,,,
116,1007-c-20,5,20,"간접법을 적용하는 경우, 영업활동 순현금흐름은 당기순손익에 다음 항목들의 영향을 조정하여 결정한다. "
117,1007-c-,5,,⑴ 회계기간 동안 발생한 재고자산과 영업활동에 관련된 채권·채무의 변동
118,1007-c-,5,,"⑵ 감가상각비, 충당부채, 이연법인세, 외화환산손익, 미배분 관계기업 이익 및 미배분 비지배지분과 같은 비현금항목"
119,1007-c-,5,,⑶투자활동 현금흐름이나 재무활동 현금흐름으로 분류되는 기타 모든 항목
120,,,,
121,1007-c-,5,,"대체적인 방법으로, 영업활동 순현금흐름은 포괄손익계산서에 공시된 수익과 비용, 그리고 회계기간 동안 발생한 재고자산과 영업활동에 관련된 채권·채무의 변동을 보여줌으로써 간접법으로 표시할 수 있다."
122,,,,
123,,,,
124,1007-i-14,2,,투자활동 현금흐름과 재무활동 현금흐름의 보고
125,,,,
126,1007-c-21,5,21,"문단 22와 24에 따라 순증감액으로 현금흐름을 보고하는 경우를 제외하고는, 투자활동과 재무활동에서 발생하는 총현금유입과 총현금유출은 주요 항목별로 구분하여 총액으로 표시한다."
127,,,,
128,,,,
129,1007-i-15,2,,순증감액에 의한 현금흐름의 보고
130,,,,
131,1007-c-22,5,22,"다음의 영업활동, 투자활동 또는 재무활동에서 발생하는 현금흐름은 순증감액으로 보고할 수 있다."
132,1007-c-,5,,⑴ 현금흐름이 기업의 활동이 아닌 고객의 활동을 반영하는 경우로서 고객을 대리함에 따라 발생하는 현금유입과 현금유출
133,1007-c-,5,,⑵ 회전율이 높고 금액이 크며 만기가 짧은 항목과 관련된 현금유입과 현금유출
134,,,,
135,1007-c-23,5,23,문단 22⑴과 관련된 현금유입과 현금유출의 예는 다음과 같다.
136,1007-c-,5,,⑴ 은행의 요구불예금 수신 및 인출
137,1007-c-,5,,⑵ 투자기업이 보유하고 있는 고객예탁금
138,1007-c-,5,,⑶부동산 소유주를 대신하여 회수한 임대료와 소유주에게 지급한 임대료
139,,,,
140,1007-c-,5,,문단 22⑵와 관련된 현금유입과 현금유출의 예는 다음과 같다.
141,1007-c-,5,,⑴ 신용카드 고객에 대한 대출과 회수
142,1007-c-,5,,⑵ 투자자산의 구입과 처분
143,1007-c-,5,,"⑶기타 단기차입금(예를 들어, 차입 당시 만기일이 3개월 이내인 경우)"
144,,,,
145,1007-c-24,5,24,금융회사의 경우 다음 활동에서 발생하는 현금흐름은 순증감액으로 표시할 수 있다.
146,1007-c-,5,,⑴ 확정만기조건 예수금의 수신과 인출에 따른 현금유입과 현금유출
147,1007-c-,5,,⑵ 금융회사 간의 예금이체 및 예금인출
148,1007-c-,5,,⑶고객에 대한 현금 선지급과 대출 및 이의 회수
149,,,,
150,,,,
151,1007-i-16,2,,외화현금흐름
152,,,,
153,1007-c-25,5,25,외화거래에서 발생하는 현금흐름은 현금흐름 발생일의 기능통화와 외화 사이의 환율을 외화 금액에 적용하여 환산한 기능통화 금액으로 기록한다.
154,,,,
155,1007-c-26,5,26,해외 종속기업의 현금흐름은 현금흐름 발생일의 기능통화와 외화 사이의 환율로 환산한다.
156,,,,
157,1007-c-27,5,27,외화로 표시된 현금흐름은 기업회계기준서 제1021 ‘환율변동효과’와 일관된 방법으로 보고한다. 이 기준서에서는 실제 환율에 근접한 환율의 적용을 허용하고 있다. 예를 들어 외화거래를 기록하거나 해외 종속기업의 현금흐름을 환산할 때 일정기간 동안의 가중평균환율을 적용할 수 있다. 그러나 기업회계기준서 제1021는 해외 종속기업의 현금흐름을 환산할 때 보고기간말의 환율을 적용하는 것은 허용하지 않는다.
158,,,,
159,1007-c-28,5,28,"환율변동으로 인한 미실현손익은 현금흐름이 아니다. 그러나 외화로 표시된 현금및현금성자산의 환율변동효과는 기초와 기말의 현금및현금성자산을 조정하기 위해 현금흐름표에 보고한다. 이 금액은 영업활동, 투자활동 및 재무활동 현금흐름과 구분하여 별도로 표시하며, 그러한 현금흐름을 기말 환율로 보고하였다면 발생하게 될 차이를 포함한다."
160,,,,
161,1007-c-29,5,29,[국제회계기준위원회에 의하여 삭제됨]
162,,,,
163,1007-c-30,5,30,[국제회계기준위원회에 의하여 삭제됨]
164,,,,
165,,,,
166,1007-i-17,2,,이자와 배당금
167,,,,
168,1007-c-31,5,31,"이자와 배당금의 수취 및 지급에 따른 현금흐름은 각각 별도로 공시한다. 각 현금흐름은 매 기간 일관성 있게 영업활동, 투자활동 또는 재무활동으로 분류한다."
169,,,,
170,1007-c-32,5,32,기업회계기준서 제1023 ‘차입원가’에 따라 회계기간 동안 지급한 이자금액은 당기손익의 비용항목으로 인식하는지 또는 자본화하는지에 관계없이 현금흐름표에 총지급액을 공시한다.
171,,,,
172,1007-c-33,5,33,"금융회사의 경우 이자지급, 이자수입 및 배당금수입은 일반적으로 영업활동 현금흐름으로 분류한다. 그러나 다른 업종의 경우 이러한 현금흐름의 분류방법에 대하여 합의가 이루어지지 않았다. 이자지급, 이자수입 및 배당금수입은 당기순손익의 결정에 영향을 미치므로 영업활동 현금흐름으로 분류할 수 있다. 대체적인 방법으로 이자지급, 이자수입 및 배당금수입은 재무자원을 획득하는 원가나 투자자산에 대한 수익이므로 각각 재무활동 현금흐름과 투자활동 현금흐름으로 분류할 수도 있다."
173,,,,
174,1007-c-34,5,34,"배당금의 지급은 재무자원을 획득하는 원가이므로 재무활동 현금흐름으로 분류할 수 있다. 대체적인 방법으로, 재무제표이용자가 영업활동 현금흐름에서 배당금을 지급할 수 있는 기업의 능력을 판단하는 데 도움을 주기 위하여 영업활동 현금흐름의 구성요소로 분류할 수도 있다."
175,,,,
176,1007-i-18,2,,법인세
177,,,,
178,1007-c-35,5,35,"법인세로 인한 현금흐름은 별도로 공시하며, 재무활동과 투자활동에 명백히 관련되지 않는 한 영업활동 현금흐름으로 분류한다."
179,,,,
180,1007-c-36,5,36,"법인세는 현금흐름표에서 영업활동, 투자활동 또는 재무활동으로 분류되는 현금흐름을 유발하는 거래에서 발생한다. 법인세비용이 투자활동이나 재무활동으로 쉽게 식별가능한 경우에도 관련된 법인세 현금흐름은 실무적으로 식별할 수 없는 경우가 많으며, 당해 거래의 현금흐름과 다른 기간에 발생하기도 한다. 따라서 법인세의 지급은 일반적으로 영업활동 현금흐름으로 분류한다. 그러나 투자활동이나 재무활동으로 분류한 현금흐름을 유발하는 개별 거래와 관련된 법인세 현금흐름을 실무적으로 식별할 수 있다면, 그 법인세 현금흐름은 투자활동이나 재무활동으로 적절히 분류한다. 법인세 현금흐름이 둘 이상의 활동에 배분되는 경우에는 법인세의 총지급액을 공시한다."
181,,,,
182,,,,
183,1007-i-19,2,,"종속기업, 관계기업 및 공동기업에 대한 투자"
184,,,,
185,1007-c-37,5,37,"관계기업, 공동기업 또는 종속기업에 대한 투자를 지분법 또는 원가법을 적용하여 회계처리하는 경우, 투자자는 배당금이나 선급금과 같이 투자자와 피투자자 사이에 발생한 현금흐름만을 현금흐름표에 보고한다."
186,,,,
187,1007-c-38,5,38,"지분법을 사용하여 관계기업 또는 공동기업 투자지분을 보고하는 기업은 관계기업 또는 공동기업에 대한 투자, 분배, 그리고 그 밖의 당해 기업과 관계기업 또는 공동기업 사이의 지급액이나 수취액과 관련된 현금흐름을 현금흐름표에 포함한다."
